TSNE1,TSNE2,label
-16.301235,20.23554,control
-13.745563,14.951447,control
-14.420642,16.234549,control
-14.3557205,16.91564,control
-17.194042,20.256508,control
-15.194876,17.30261,control
-8.724015,20.284365,control
-13.152977,14.786704,control
-8.969698,14.121549,control
-17.358948,24.243315,control
-17.389557,20.493177,control
-13.534952,14.132566,control
-16.014174,19.542501,control
-11.542781,14.087919,control
-13.43683,12.02287,control
1.9607159,18.90076,control
-17.623625,20.79501,control
-16.780542,21.429426,control
-12.553586,11.927948,control
-16.929438,19.848959,control
-11.443278,12.164298,control
-16.863731,18.935228,control
-9.195238,13.242079,control
-10.007048,9.145686,control
-15.156191,15.539731,control
-11.663168,10.485537,control
-17.90133,22.118546,control
-18.941645,23.2822,control
-15.432753,19.989614,control
-15.370743,21.903093,control
-17.354843,18.39952,control
-10.789669,10.52624,control
-14.085646,14.460428,control
-12.335122,12.235093,control
-8.323247,13.157338,control
-16.456379,21.85796,control
-17.170898,21.662012,control
-15.057845,21.810879,control
-8.567382,10.415593,control
-15.119486,18.557592,control
-12.267349,12.192341,control
-12.823266,14.098877,control
-5.1551833,31.83095,control
-12.409,12.710916,control
-11.957096,15.079904,control
-14.4909315,14.425909,control
-18.478716,23.7262,control
-9.564621,6.259511,control
-18.06598,21.743267,control
-11.015147,9.627442,control
-14.615806,15.299515,control
-16.578554,20.471481,control
-15.421777,21.683538,control
-10.762834,13.390597,control
-14.969592,17.300468,control
-11.465256,9.667361,control
-10.36984,7.7138166,control
-12.8921995,13.592655,control
-17.739422,21.09472,control
-17.400436,20.755066,control
-16.282322,20.36318,control
-5.270847,22.237906,control
-18.058964,20.419312,control
-17.033628,20.134743,control
-17.084896,20.298018,control
-17.793236,21.005728,control
-18.101719,22.259151,control
-11.487772,12.517965,control
-17.997408,21.095877,control
-19.796976,22.178177,control
-13.094232,12.917682,control
-9.2231655,6.0304794,control
-18.467098,21.110645,control
-17.489458,20.822884,control
-14.508066,16.26673,control
-18.448364,21.766106,control
-6.8258677,10.124869,control
-16.576714,18.201193,control
-10.103687,7.311549,control
-11.027176,27.053362,control
0.36000007,20.095211,control
-15.5054245,16.470036,control
-9.318466,7.551187,control
-17.87669,22.688465,control
-17.479416,19.888224,control
-17.547894,22.076643,control
-15.788681,19.456787,control
-8.454589,18.696575,control
-15.7273,17.587923,control
-15.342846,20.177053,control
-14.283413,15.430349,control
-14.165998,17.233582,control
-14.596674,17.70978,control
-12.27916,11.434522,control
-17.655123,21.152569,control
-7.9878,8.618355,control
-10.96104,11.33929,control
-11.266342,9.141009,control
-19.1032,24.97334,control
-18.155678,22.474506,control
-8.447946,11.66282,control
-13.321534,14.050091,control
-13.449142,13.415034,control
-13.393031,16.711704,control
-11.230806,10.396488,control
-16.143574,17.728098,control
-12.842279,13.060929,control
-17.413176,18.196095,control
-13.087205,16.439035,control
-17.636997,19.316938,control
-15.592755,22.376488,control
-14.543048,16.79034,control
-19.34904,25.430922,control
-12.360532,16.67298,control
-10.82252,13.60124,control
-17.800772,21.304594,control
-17.208462,20.187664,control
-12.440854,13.463034,control
-16.124664,21.318201,control
-16.917635,19.5059,control
-12.796814,18.583944,control
-18.18457,22.31284,control
-16.719835,22.320185,control
-18.656124,20.628845,control
-15.75184,20.163399,control
-17.748476,23.277838,control
-16.658901,18.019573,control
-15.724943,21.590988,control
-11.547044,11.248354,control
-12.402396,12.740608,control
-16.912695,20.890385,control
-17.434372,23.635891,control
-17.085928,20.250456,control
-17.612947,23.252558,control
-16.517227,17.17251,control
-11.654462,12.749546,control
-13.587971,13.702093,control
-15.610782,19.603136,control
-16.620693,17.568224,control
-17.630451,23.256386,control
-17.44981,20.683651,control
-14.459987,15.032726,control
-8.6649,14.183813,control
-17.894802,21.43541,control
-17.632454,21.549103,control
-9.893565,6.0890822,control
-17.610134,18.84789,control
-16.391268,22.329657,control
-16.359528,18.685757,control
-14.373733,14.791297,control
-16.889944,21.28563,control
-14.470385,13.872012,control
-18.406015,22.842808,control
-18.63472,20.229631,control
-15.981934,21.090612,control
-13.685683,14.942881,control
-17.36386,20.711071,control
-18.048903,22.699057,control
-13.960745,14.097651,control
-17.572662,21.313911,control
-19.25945,22.374958,control
-18.735113,23.075867,control
-16.330652,18.811968,control
-18.063023,22.844746,control
-12.248073,10.977723,control
-10.527839,8.999725,control
-16.559654,19.846352,control
-13.376146,16.626396,control
-15.797682,21.058722,control
-17.941933,23.708143,control
-14.466754,14.6929455,control
-17.513494,21.885714,control
-15.23603,16.568815,control
-19.400406,23.948286,control
-18.969208,20.658195,control
-18.065678,21.435951,control
-17.803202,18.286787,control
-17.567717,20.519787,control
-16.97076,20.85383,control
-17.832188,21.22495,control
-13.781356,16.416035,control
-17.757627,21.677235,control
-19.9206,21.417988,control
-16.857279,23.348927,control
-6.938837,9.66976,control
-16.553421,21.372566,control
-17.24218,21.98709,control
1.418354,19.755617,control
-13.641193,12.840498,control
-14.966335,15.82206,control
-14.234765,14.520015,control
-17.205172,19.958838,control
-17.968866,20.1135,control
-17.722464,21.307072,control
-15.76892,21.26339,control
-16.396887,22.914913,control
-18.242159,22.270351,control
-16.220322,18.013649,control
-13.55444,14.74739,control
-18.607073,20.603802,control
-18.010101,23.468592,control
-15.324185,15.295414,control
-19.515427,22.161472,control
-16.079645,20.315561,control
-17.589193,21.262465,control
-19.008476,22.977924,control
-18.230373,19.6591,control
-13.845436,14.500139,control
-14.890864,20.194801,control
-17.427883,21.234303,control
-18.375982,21.040264,control
-17.228188,18.093239,control
-10.4469595,16.26269,control
-17.064934,22.688393,control
-18.772314,22.344364,control
-18.867426,21.161013,control
-14.004828,14.979072,control
-19.139114,23.733728,control
-18.017359,21.810951,control
-17.5509,19.420378,control
-16.232367,20.675186,control
-12.492756,12.012072,control
-18.285192,20.445831,control
-17.102398,20.569864,control
-16.110685,21.401508,control
-17.808949,20.933634,control
-17.647352,20.780342,control
-14.291034,15.263896,control
-12.521914,12.221913,control
-17.331789,20.495716,control
-18.034126,22.35829,control
-16.303957,17.798237,control
-16.00611,17.142641,control
-14.679718,14.970471,control
-16.799026,19.058878,control
