PC1,PC2,label
-2.8396082885789684,-0.7433297359531795,control
-2.365396378780888,-0.5225440429948508,control
-1.9678910762593531,-0.7407049033926245,control
-2.847055029476838,-2.2663886467699768,control
-2.427519066929877,-1.0345159179976693,control
-2.6357041278052478,-1.000648893707296,control
-2.037406538579383,-0.4868240675909296,control
-2.735991843592784,-0.7660797492755597,control
-2.556552225544328,-1.0518290975740359,control
-2.5474225623282556,-0.8486119081285404,control
-2.2111021691868,-0.6580967207432584,control
-2.1719427876665276,-0.7859362014393586,control
-2.709655163653195,-1.416094273030696,control
-2.17004781596564,-0.7693631191174618,control
-2.6992436625941227,-0.40889019524103715,control
-2.5178533231796707,-0.49193673394877946,control
-2.884364981347687,-0.7023177354483557,control
-2.716208601926957,-1.0219614870722218,control
-2.727185068487462,-0.8750988125927183,control
-2.470921132351521,-0.9784784051684156,control
-2.0739406204036133,-0.8045599778001318,control
-2.4030441590539247,-1.1850496779350865,control
-2.3245878371018973,-1.090350972466712,control
-2.833962668352133,-1.3372055061061157,control
-2.3133133750652175,-0.30165528759372023,control
-2.1201300506861642,-0.6316269438219998,control
-2.361201268163414,-0.3778882595591471,control
-3.0448534613851432,-0.2638862321234578,control
-2.0671543785957565,-0.5572013751103738,control
-2.264552406410671,-1.0390076397343648,control
-2.215087285304227,-0.5868924094197798,control
-2.7754109088142362,-0.15441295676240888,control
-2.126515141006286,-0.9492941415981212,control
-2.397758872797327,-0.7706109721481974,control
-2.311921680533714,-0.47043608915484947,control
-2.5561866277159697,-0.7032616092958021,control
-2.4583854860226815,-0.659010162584421,control
-2.523533287266501,-0.8202304781383801,control
-2.3968489882766644,-1.540737726747808,control
-3.010233448758547,-2.095380951323515,control
-2.34269834608904,-0.566185298809069,control
-2.57946104147521,-0.8517841216562575,control
-2.387597452432825,-0.49887182758854876,control
-2.1574475442770966,-0.9131567963939693,control
-2.9043302705235456,-1.734674785053485,control
-2.4288524874432773,-1.007399375699034,control
-2.439165225156409,-0.37398040832052987,control
-3.1089695403608006,-0.92723695099755,control
-2.31793314574839,-0.9375720086365253,control
-2.540246222456557,-0.9804695060497242,control
-2.386803938234201,-0.7393635297925338,control
-2.3885858286205766,-0.5944656737298669,control
-2.1631628438362585,-0.5749803763932033,control
-2.4041019715305003,-1.0333022878775044,control
-2.368523139932808,-0.9856284024200783,control
-2.1691152467456267,-0.7413682238005336,control
-3.6297761818940146,-1.991687302922854,control
-2.1739219119827644,-0.8284802678642725,control
-2.366817404500181,-0.817559380955131,control
-2.7280987705907456,-0.633777520840547,control
-3.3886198211763716,-2.3982201158344147,control
-2.6663658102471555,-1.598200732030041,control
-2.5965109548177394,-1.2160147723853914,control
-2.4364372405939783,-0.9735618941318315,control
-2.1517589950495393,-0.4550902707639687,control
-3.3293359902900357,-2.2571261593861474,control
-2.251161466706678,-1.2123514913538151,control
-2.280271465210154,-0.6532955627920785,control
-2.0586324307583386,-1.0719309599116356,control
-2.4817611768119052,-0.5849861887785871,control
-2.2218533004447703,-0.8308588883076353,control
-3.733202793919023,-2.2916774028953366,control
-2.3610142026124312,-0.25952128897555615,control
-2.218853053970492,-1.0754858549626274,control
-2.4720504570334723,-0.68829936026492,control
-2.2736050565183192,-1.1189067908593857,control
-2.3125686338021105,-1.2031186804991798,control
-2.332753368294743,-0.7747840251486477,control
-2.7360562205908208,-1.3118357710579058,control
-3.352277671779893,-1.5098221966306935,control
-2.6673175831612967,-0.7334961636856848,control
-2.363685304874685,-0.6010346495859276,control
-2.714536604993147,-1.3482388739475197,control
-2.288675407772196,-0.6250886428163447,control
-2.3224784975372796,-1.591540824396472,control
